Device,70000,Device,70000,TRUNK 1 NODE 41,TRUNK 1 NODE 41,TRUNK 1 NODE 41
Device,70000,Notification Class,1,NC object
Device,70000,Analog Input,1,PXCC-5:ALMCT2,PXCC-5:ALMCT2,PXCC-5:ALMCT2
Device,70000,Analog Input,2,PXCC-4:BATT2,PXCC-4:BATT2,PXCC-4:BATT2
Device,70000,Analog Input,3,232 PXCC 5 CO2,DCPX5CO2,232 PXCC 5 CO2
Device,70000,Analog Input,4,232 ELEC ROOM 107 TEMP,DC107T,232 ELEC ROOM 107 TEMP
Device,70000,Analog Input,5,232 CO2 N101,DCRCN101,232 CO2 N101
Device,70000,Analog Input,6,232 CO2 N107,DCRCN107,232 CO2 N107
Device,70000,Analog Input,7,232 CO2 N108,DCRCN108,232 CO2 N108
Device,70000,Analog Input,8,232 CO2 N110,DCRCN110,232 CO2 N110
Device,70000,Analog Input,9,232 CO2 N111,DCRCN111,232 CO2 N111
Device,70000,Analog Input,10,232 DEW POINT N14,DCRDPN14,232 DEW POINT N14
Device,70000,Analog Input,11,232 DEW POINT N17,DCRDPN17,232 DEW POINT N17
Device,70000,Analog Input,12,232 DEW POINT N18,DCRDPN18,232 DEW POINT N18
Device,70000,Analog Input,13,232 ZONE N102 ROOM TEMP,DCTN102T,232 ZONE N102 ROOM TEMP
Device,70000,Analog Input,14,232 ZONE N103 ROOM TEMP,DCTN103T,232 ZONE N103 ROOM TEMP
Device,70000,Analog Input,15,232 ZONE N104 ROOM TEMP,DCTN104T,232 ZONE N104 ROOM TEMP
Device,70000,Analog Input,16,232 ZONE N105 ROOM TEMP,DCTN105T,232 ZONE N105 ROOM TEMP
Device,70000,Analog Input,17,232 ZONE N107 ROOM TEMP,DCTN107T,232 ZONE N107 ROOM TEMP
Device,70000,Analog Input,18,232 ZONE N108 ROOM TEMP,DCTN108T,232 ZONE N108 ROOM TEMP
Device,70000,Analog Input,19,232 ZONE N109 ROOM TEMP,DCTN109T,232 ZONE N109 ROOM TEMP
Device,70000,Analog Input,20,232 ZONE N110 ROOM TEMP,DCTN110T,232 ZONE N110 ROOM TEMP
Device,70000,Analog Input,21,232 ZONE N111 ROOM TEMP,DCTN111T,232 ZONE N111 ROOM TEMP
